objectid,filename,title,format,youtubeid,latitude,longitude,location,description,genre,character,award,date
book001,book001_cover,The Wedding People,image/jpeg,8IaSes6yz0o,40.74137604,-73.98975821,"Flatiron Building, 175 5th Ave, New York, NY 10010","In turns absurdly funny and devastatingly tender, Alison Espach’s The Wedding People is ultimately an incredibly nuanced and resonant look at the winding paths we can take to places we never imagined—and the chance encounters it sometimes takes to reroute us.",fiction,Phoebe Stone,Goodreads Choice Award for Fiction 2024,2024-07-30
book002,book002_cover,The Women,image/jpeg,3ZhMAsRN04g,40.70839903,-74.01048026,"120 Broadway, New York, NY 10271","The Women is the story of one woman gone to war, but it shines a light on all women who put themselves in harm’s way and whose sacrifice and commitment to their country has too often been forgotten. A novel about deep friendships and bold patriotism, The Women is a richly drawn story with a memorable heroine whose idealism and courage under fire will come to define an era.",historical fiction,"Frances ""Frankie"" McGrath",Audie Award for Best Fiction Narrator and Nominee for Fiction (2025),2024-02-06
